Company Name,Position,Location,Date Posted,Job URL,Time Span
Subway - 24444-0,Sandwich Artist ®,"Spokane, WA 99216",,https://www.indeed.com/rc/clk?jk=160d50205199df55&bb=kxXGDTQgACX8X4U578fcb343NGP21RkIOO2XsMcKOr0g3g2yQOeDmWwlnywi1ysyx12z7bDpLdzRbh-psbEV2WIvH1ajWyB4zpD9HxxuQkdaaXZ6k05GKUII6-TDUlEG&xkcb=SoCu67M34dQPQ9yMch0AbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,14Days
Wingstop 2263 - Spokane Shadle,Crew Member,"Spokane, WA 99205",,https://www.indeed.com/rc/clk?jk=a535b45f54af9ef6&bb=kxXGDTQgACX8X4U578fcb73HD7beqdr7CtKPuMWfYB53XJ9fdyiN7jMlEvJH9V5Tiio5xCnzAf3s2cMhNO_8jKqzudImqNXRyZQelb93zQTtgWptRJfYCrCEHh_CyLEW7QesSiPS1hU%3D&xkcb=SoAg67M34dQPQ9yMch0HbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,14Days
Wingstop 2601 - Airway Heights,Crew Member,"Spokane, WA 99224",,https://www.indeed.com/rc/clk?jk=e467cfb15ae50ca6&bb=kxXGDTQgACX8X4U578fcbykXqmb7tPsz9yz3dvPa_PbWGMTs3zu6PpfxclCYd3N6AOHs0aEb8ygjuruVJgjTpDrFQvZi5im_-wYViA9Zhph0ozXmFCzQlqgNuqizxzfo6dkWt9gkYqg%3D&xkcb=SoCU67M34dQPQ9yMch0GbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,14Days
Subway - 17090-0,Sandwich Artist ®,"Spokane, WA 99223",,https://www.indeed.com/rc/clk?jk=a8d942f19612a048&bb=YE2vjx0OumkvP6US2VFfygCuBCW9CCjXvsiAiYe0BBmTuM4AIbVqjzp_zFrUehyiwyC5H4FlVApE9bhRlc6vNiKIuKLUPp0jfL8lkcuW-R0PmvvTeSxEJqtQOfdt3-2U&xkcb=SoDA67M34dQgadRUIx0LbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,14Days
Boston's Pizza,Front of House Manager,"Spokane, WA 99216",,https://www.indeed.com/rc/clk?jk=bcbe1cd2e972fbb9&bb=VSuikP3sCLebo4LzIE6uaAbViJ5sKms0ep0O_2QQDMygQX9W1R_FMVYz5o1FByHuqA6Aba62TP_049zOl2HlPPaONpGojWswFrB1VyesDWMJw9HJqBKbw0R9GqWMWwub&xkcb=SoCm67M34dQwWPSMaB0DbzkdCdPP&fccid=c1b1b03bc22e7808&vjs=3,14Days
Subway - 36537-0,Sandwich Artist ®,"Spokane, WA 99208",,https://www.indeed.com/rc/clk?jk=a5a640904c30aeeb&bb=_K2AF598lwiYuuHwV8DrxCRz6lpB8jwcKxcxuh79578F8ySjI_yZ1Fvhz7SnXArwKqRrpoRyQhG95uplhdzx_2m1FPg4_mH9USPffb8glWkOH_rfsUcXOprwuEGasgIM&xkcb=SoDE67M34dRDb3SMch0KbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,14Days
Spokane Public Schools,"PARAEDUCATOR - STUDENT @ WHITMAN ELEMENTARY SCHOOL, 7 HRS, CONT.","Spokane, WA 99201 
(Riverside area)",,https://www.indeed.com/rc/clk?jk=f42936c3a92ddb8c&bb=qkaPwHxFIwLDTQMiMvGBmMrCTo5h9FRwlWvS4jg6jWxjuZgnQVBe0AQL0Phyd0VIqT7Bca0MiGVBnKRCxIkQa14CqKFx-NMzxLw4wpoYsg8CDkFXYV3LUvIQaRzTTo9m&xkcb=SoD567M34dRUDsSMaB0LbzkdCdPP&fccid=0e2e0e63453718f2&vjs=3,14Days
Tacoma Rainiers,Team Broadcaster and Communication Specialist,"Tacoma, WA 98405",,https://www.indeed.com/rc/clk?jk=6fd7383d987e1207&bb=lqaOiRChE2NNSrFRTbUqpHYQuQhxryTKA1SWcDAa17MWoCe9cg4m92BU7l7kvuEbwHxr6kkRvTbjiVFD_1ZLKm6p0XjeKcls1sNGFia9GlI0C6ZWJdtSUJcB5BfDBSZD&xkcb=SoCK67M34dR2udRUKZ0BbzkdCdPP&fccid=1358b6a71138b6d1&vjs=3,14Days
Pierce County Washington,Clerk to the Pierce County Council,"Tacoma, WA 98409",,https://www.indeed.com/rc/clk?jk=49b83a908f0a2c22&bb=lqaOiRChE2NNSrFRTbUqpIeORKl2TdxTbXMuNQqOLSxw9AMXt6QbWtprbeTZn8U7TXUBCkGj4LieN_6aOu7lkmk4d-PYUvhBzxvwcOb5U0gYIRBIFLvalXPgEhDjcaYs&xkcb=SoCw67M34dR2udRUKZ0HbzkdCdPP&fccid=58246ea27b3f8cc2&vjs=3,14Days
Starbucks,"barista - Store# 00356, 26TH AND PROCTOR","Tacoma, WA 98407 
(North End area)",,https://www.indeed.com/rc/clk?jk=f9911f6aa220b4ce&bb=lqaOiRChE2NNSrFRTbUqpMVG79GKEmjh3W9FEYWQvLIN9Y0Ir1Jpe3KjLA8411nlO2s2jX8XUed7yaljDpmE6oO4X6H1HMQgVmsiB4v4BpBvxZTz8wwyhA%3D%3D&xkcb=SoCZ67M34dR2udRUKZ0FbzkdCdPP&fccid=a88e611ddef97571&vjs=3,14Days
Nucor Rebar Fabrication Northwest,Estimator - Nucor Rebar Fabrication - PNW,"Tacoma, WA 98446",,https://www.indeed.com/rc/clk?jk=b8d7555518d77bbb&bb=PYKXksRnARu-eKFwkmoNaaCvlkOrWCG6H3hWhhDAJyJah0Kkr-bR2upkicLG2G8Y74ymEMV_JahTi-fZjDLllVq9qiEthcJVMPmyxgSkEKbO0U3b7DRhmg%3D%3D&xkcb=SoDz67M34dSKrMSMch0KbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,14Days
