Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamnName,HomeTeamnNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,2015,18,2015-07-11,16:15,6788210,IDFsFufb,Finished,Kenya Rev. Authority,KAU,138480,AFC Leopards SC,LDS,76433,0,0
Kenyan Premier League,2015,18,2015-07-12,14:00,6788213,BufbsWufb,Finished,Tusker,TUS,138496,Chemelil Sugar,CSU,138476,5,5
Kenyan Premier League,2015,18,2015-07-12,15:00,6788208,LufbsYufb,Finished,Nairobi City Stars FC,NCS,138486,Ulinzi Stars,ULS,138498,0,0
Kenyan Premier League,2015,18,2015-07-12,15:00,6788209,zufbsPufb,Finished,Sony Sugar,SSU,138490,Bandari FC,BAN,138474,0,0
Kenyan Premier League,2015,18,2015-07-12,15:00,6788207,Rufbsavfb,Finished,Thika United,TUN,138492,Western Stima FC,WST,138500,1,1
Kenyan Premier League,2015,18,2015-07-12,16:15,6788211,gLdbsHufb,Finished,Mathare United,MAU,138482,Gor Mahia FC,GOR,134306,1,1
Kenyan Premier League,2015,19,2015-07-18,15:00,6788254,BufbsDufb,Finished,Chemelil Sugar,CSU,138476,Kenya Commercial Bank,KCB,138478,1,1
Kenyan Premier League,2015,19,2015-07-18,15:00,6788255,NufbsWufb,Finished,Sofapaka,SOF,138488,Tusker,TUS,138496,0,0
Kenyan Premier League,2015,19,2015-07-18,15:00,6788258,FufbsYufb,Finished,Ulinzi Stars,ULS,138498,Kenya Rev. Authority,KAU,138480,2,2
Kenyan Premier League,2015,19,2015-07-19,14:00,6788256,HufbsRufb,Finished,Mathare United,MAU,138482,Thika United,TUN,138492,2,2
Kenyan Premier League,2015,19,2015-07-19,15:00,6788260,Uufbsavfb,Finished,Western Stima FC,WST,138500,Top Fry Nakuru,TFN,138494,0,0
Kenyan Premier League,2015,19,2015-07-19,16:15,6788257,IDFsLufb,Finished,AFC Leopards SC,LDS,76433,Nairobi City Stars FC,NCS,138486,2,2
Kenyan Premier League,2015,19,2015-09-16,19:00,6788259,gLdbsPufb,Finished,Gor Mahia FC,GOR,134306,Sony Sugar,SSU,138490,1,1
Kenyan Premier League,2015,20,2015-07-24,14:00,6806134,Fufbsavfb,Finished,Kenya Rev. Authority,KAU,138480,Western Stima FC,WST,138500,2,2
Kenyan Premier League,2015,20,2015-07-24,16:15,6806135,RufbsWufb,Finished,Tusker,TUS,138496,Thika United,TUN,138492,4,4
Kenyan Premier League,2015,20,2015-07-26,14:00,6806139,BufbsLufb,Finished,Nairobi City Stars FC,NCS,138486,Chemelil Sugar,CSU,138476,1,1
Kenyan Premier League,2015,20,2015-07-26,15:00,6806133,zufbsNufb,Finished,Bandari FC,BAN,138474,Sofapaka,SOF,138488,1,1
Kenyan Premier League,2015,20,2015-07-26,15:00,6806137,JufbsYufb,Finished,Muhoroni Youth FC,MUY,138484,Ulinzi Stars,ULS,138498,2,2
Kenyan Premier League,2015,20,2024-09-30,15:42,6806140,gLdbsUufb,Canceled,Top Fry Nakuru,TFN,138494,Gor Mahia FC,GOR,134306,-,-
Kenyan Premier League,2015,20,2015-07-26,16:15,6806136,DufbsHufb,Finished,Kenya Commercial Bank,KCB,138478,Mathare United,MAU,138482,2,2
Kenyan Premier League,2015,20,2015-07-27,15:00,6806138,IDFsPufb,Finished,Sony Sugar,SSU,138490,AFC Leopards SC,LDS,76433,2,2
Kenyan Premier League,2015,20,2015-08-19,17:00,6849856,gLdbsUufb,Finished,Top Fry Nakuru,TFN,138494,Gor Mahia FC,GOR,134306,1,1
Kenyan Premier League,2015,21,2015-07-31,16:00,6815133,HufbsWufb,Finished,Mathare United,MAU,138482,Tusker,TUS,138496,1,1
Kenyan Premier League,2015,21,2015-08-01,15:00,6815134,DufbsRufb,Finished,Thika United,TUN,138492,Kenya Commercial Bank,KCB,138478,2,2
Kenyan Premier League,2015,21,2015-08-01,15:00,6815138,Pufbsavfb,Finished,Western Stima FC,WST,138500,Sony Sugar,SSU,138490,0,0
Kenyan Premier League,2015,21,2015-08-02,13:30,6815139,UufbsYufb,Finished,Ulinzi Stars,ULS,138498,Top Fry Nakuru,TFN,138494,3,3
Kenyan Premier League,2015,21,2015-08-02,15:00,6815132,BufbsJufb,Finished,Chemelil Sugar,CSU,138476,Muhoroni Youth FC,MUY,138484,0,0
