Product_link,Product_name,Product_price
https://megawines.co.ke/product/grants-signature-750ml/,GRANTS SIGNATURE 750ML,2000.00
https://megawines.co.ke/product/grants-tripple-wood-12yrs-750ml/,GRANTS TRIPPLE WOOD 12YRS 750ML,3300.00
https://megawines.co.ke/product/hakushu-12yrs-700ml/,HAKUSHU 12YRS 700ML,28000.00
https://megawines.co.ke/product/hakushu-18yrs-700ml/,HAKUSHU 18YRS 700ML,36400.00
https://megawines.co.ke/product/hakushu-distillers-single-malt-700ml/,HAKUSHU DISTILLERS SINGLE MALT 700ML,26000.00
https://megawines.co.ke/product/hampton-dram-blended-whisky-750ml/,HAMPTON DRAM BLENDED WHISKY 750ML,1500.00
https://megawines.co.ke/product/hibiki-12yrs-700ml/,HIBIKI 12YRS 700ML,13650.00
https://megawines.co.ke/product/hibiki-17yrs-700ml/,HIBIKI 17YRS 700ML,48100.00
https://megawines.co.ke/product/hibiki-harmony-g-pack-700ml/,HIBIKI HARMONY G/PACK 700ML,38800.00
https://megawines.co.ke/product/high-commissioner-whisky-1000ml/,HIGH COMMISSIONER WHISKY 1000ML,1500.00
https://megawines.co.ke/product/highland-park-18yrs-700ml/,HIGHLAND PARK 18YRS 700ML,26000.00
https://megawines.co.ke/product/hombo-mars-iwai-tradition-750ml/,HOMBO MARS IWAI TRADITION 750ML,7000.00
https://megawines.co.ke/product/hombo-mars-maltage-cosmo-750ml/,HOMBO MARS MALTAGE COSMO 750ML,11000.00
https://megawines.co.ke/product/hombo-mars-premium-iwai-whisky-750ml/,HOMBO MARS PREMIUM IWAI WHISKY 750ML,5700.00
https://megawines.co.ke/product/hunters-choice-250ml/,HUNTERS CHOICE 250ML,380.00
https://megawines.co.ke/product/hunters-choice-350ml/,HUNTERS CHOICE 350ML,530.00
https://megawines.co.ke/product/hunters-choice-750ml/,HUNTERS CHOICE 750ML,1120.00
https://megawines.co.ke/product/j-b-rare-reserve-15yrs-1000ml/,J & B RARE RESERVE 15YRS 1000ML,7500.00
https://megawines.co.ke/product/j-b-rare-reserve-15yrs-700ml/,J & B RARE RESERVE 15YRS 700ML,4800.00
https://megawines.co.ke/product/j-b-rare-1000ml/,J & B RARE 1000ML,2500.00
https://megawines.co.ke/product/j-b-rare-1125ml/,J & B RARE 1125ML,2700.00
https://megawines.co.ke/product/j-b-rare-750ml/,J & B RARE 750ML,2200.00
https://megawines.co.ke/product/j-b-rare-jet-12yrs-700ml/,J & B RARE JET 12YRS 700ML,3200.00
https://megawines.co.ke/product/jack-daniels-3000ml/,JACK DANIEL’S 3000ML,16500.00
https://megawines.co.ke/product/jack-daniels-375ml/,JACK DANIEL’S 375ML,2000.00
https://megawines.co.ke/product/jack-daniels-700ml/,JACK DANIEL’S 700ML,3300.00
https://megawines.co.ke/product/jack-daniels-750ml/,JACK DANIEL’S 750ML,3300.00
https://megawines.co.ke/product/jack-daniels-fire-1000ml/,JACK DANIEL’S FIRE 1000ML,4650.00
https://megawines.co.ke/product/jack-daniels-fire-700ml-gift-pack/,JACK DANIEL’S FIRE 700ML-GIFT PACK,3300.00
https://megawines.co.ke/product/jack-daniels-honey-1000ml/,JACK DANIEL’S HONEY 1000ML,4800.00
https://megawines.co.ke/product/jack-daniels-honey-375ml/,JACK DANIEL’S HONEY 375ML,2200.00
https://megawines.co.ke/product/jack-daniels-in-bond-1000ml/,JACK DANIEL’S IN BOND 1000ML,5450.00
https://megawines.co.ke/product/jack-daniels-no-7-legacy-edition-700ml/,JACK DANIEL’S LEGACY NO.7 700ML,4200.00
https://megawines.co.ke/product/jack-daniels-master-dist-series-1000ml/,JACK DANIEL’S MASTER DIST SERIES 1000ML,4500.00
https://megawines.co.ke/product/jack-daniels-master-dist-series-700ml/,JACK DANIEL’S MASTER DIST SERIES 700ML,4200.00
https://megawines.co.ke/product/jack-daniels-no-27-gold-700ml/,JACK DANIEL’S NO.27 GOLD 700ML,16800.00
https://megawines.co.ke/product/jack-daniels-rye-1000ml/,JACK DANIEL’S RYE 1000ML,4100.00
https://megawines.co.ke/product/jack-daniels-rye-700ml/,JACK DANIEL’S RYE 700ML,3200.00
https://megawines.co.ke/product/jack-daniels-s-barrel-rye-750ml/,JACK DANIEL’S S/BARREL RYE 750ML,7700.00
https://megawines.co.ke/product/jack-daniels-silver-750ml/,JACK DANIEL’S SILVER 750ML,6200.00
https://megawines.co.ke/product/jack-daniels-sinatra-select-1000ml/,JACK DANIEL’S SINATRA SELECT 1000ML,18000.00
https://megawines.co.ke/product/jack-daniels-single-barrel-100-proof-700ml/,JACK DANIEL’S SINGLE BARREL 100 PROOF 700ML,9500.00
https://megawines.co.ke/product/jack-daniels-single-barrel-350ml/,JACK DANIEL’S SINGLE BARREL 350ML,3800.00
https://megawines.co.ke/product/jack-daniels-single-barrel-750ml/,JACK DANIEL’S SINGLE BARREL 750ML,9750.00
https://megawines.co.ke/product/jameson-1000ml/,JAMESON 1000ML,3400.00
https://megawines.co.ke/product/jameson-350ml/,JAMESON 350ML,1400.00
https://megawines.co.ke/product/jameson-4500ml/,JAMESON 4500ML,17000.00
https://megawines.co.ke/product/jameson-750ml/,JAMESON 750ML,2600.00
https://megawines.co.ke/product/jameson-caskmate-ipa-1000ml/,JAMESON CASKMATE IPA 1000ML,6500.00
https://megawines.co.ke/product/jameson-caskmates-stout-edition-1000ml/,JAMESON CASKMATES STOUT EDITION 1000ML,6000.00
https://megawines.co.ke/product/jameson-coopers-croze-700ml/,JAMESON COOPER’S CROZE 700ML,7200.00
https://megawines.co.ke/product/jameson-distillers-safe-700ml/,JAMESON DISTILLER’S SAFE 700ML,7950.00
https://megawines.co.ke/product/jim-beam-apple-1000ml/,JIM BEAM APPLE 1000ML,3200.00
https://megawines.co.ke/product/jim-beam-black-6-yrs-1000ml/,JIM BEAM BLACK 6 YRS 1000ML,2300.00
https://megawines.co.ke/product/jim-beam-black-6yrs-750ml/,JIM BEAM BLACK 6YRS 750ML,2000.00
https://megawines.co.ke/product/jim-beam-black-extra-aged-1000ml/,JIM BEAM BLACK EXTRA AGED 1000ML,5200.00
https://megawines.co.ke/product/jim-beam-devils-cut-700ml/,JIM BEAM DEVILS CUT  700ML,2400.00
https://megawines.co.ke/product/jim-beam-devils-cut-1000ml/,JIM BEAM DEVILS CUT 1000ML,2300.00
https://megawines.co.ke/product/jim-beam-double-oak-750ml/,JIM BEAM DOUBLE OAK 750ML,4300.00
https://megawines.co.ke/product/jim-beam-extra-aged-700ml/,JIM BEAM EXTRA AGED 700ML,4500.00
https://megawines.co.ke/product/jim-beam-green-750ml/,JIM BEAM GREEN 750ML,1600.00
https://megawines.co.ke/product/jim-beam-honey-700ml/,JIM BEAM HONEY 700ML,2400.00
https://megawines.co.ke/product/jim-beam-kentucky-dram-1000ml/,JIM BEAM KENTUCKY DRAM 1000ML,2300.00
https://megawines.co.ke/product/jim-beam-red-stag-750ml/,JIM BEAM RED STAG 750ML,2100.00
https://megawines.co.ke/product/jim-beam-signature-12yrs-1000ml/,JIM BEAM SIGNATURE 12YRS 1000ML,5000.00
https://megawines.co.ke/product/jim-beam-signature-12yrs-700ml/,JIM BEAM SIGNATURE 12YRS 700ML,3500.00
https://megawines.co.ke/product/jim-beam-single-barrel-750ml/,JIM BEAM SINGLE BARREL 750ML,5500.00
https://megawines.co.ke/product/johnnie-walker-black-1000ml/,JOHNNIE WALKER BLACK 1000ML,4650.00
https://megawines.co.ke/product/johnnie-walker-black-250ml/,JOHNNIE WALKER BLACK 250ML,1350.00
https://megawines.co.ke/product/johnnie-walker-black-3000ml/,JOHNNIE WALKER BLACK 3000ML,14800.00
https://megawines.co.ke/product/johnnie-walker-black-375ml/,JOHNNIE WALKER BLACK 375ML,2200.00
https://megawines.co.ke/product/johnnie-walker-black-750ml/,JOHNNIE WALKER BLACK 750ML,3750.00
https://megawines.co.ke/product/johnnie-walker-black-g-p-1000ml/,JOHNNIE WALKER BLACK G/P 1000ML,3800.00
https://megawines.co.ke/product/johnnie-walker-black-highlands-1000ml/,JOHNNIE WALKER BLACK HIGHLANDS 1000ML,7500.00
https://megawines.co.ke/product/johnnie-walker-black-lowlands-1000ml/,JOHNNIE WALKER BLACK LOWLANDS 1000ML,7500.00
https://megawines.co.ke/product/johnnie-walker-black-speyside-1000ml/,JOHNNIE WALKER BLACK SPEYSIDE 1000ML,7500.00
https://megawines.co.ke/product/johnnie-walker-blue-1000ml/,JOHNNIE WALKER BLUE 1000ML,35000.00
https://megawines.co.ke/product/johnnie-walker-blue-700ml/,JOHNNIE WALKER BLUE 700ML,30500.00
https://megawines.co.ke/product/johnnie-walker-blue-750ml/,JOHNNIE WALKER BLUE 750ML,30500.00
https://megawines.co.ke/product/johnnie-walker-blue-cask-edition-1000ml/,JOHNNIE WALKER BLUE CASK EDITION 1000ML,35000.00
https://megawines.co.ke/product/johnnie-walker-blue-label-1750ml/,JOHNNIE WALKER BLUE LABEL 1750ML,36500.00
https://megawines.co.ke/product/johnnie-walker-blue-mirror-750ml/,JOHNNIE WALKER BLUE MIRROR 750ML,28150.00
https://megawines.co.ke/product/johnnie-walker-blue-zodiac-dog-1000ml/,JOHNNIE WALKER BLUE ZODIAC DOG 1000ML,34000.00
https://megawines.co.ke/product/johnnie-walker-blue-zodiac-ox-1000ml/,JOHNNIE WALKER BLUE ZODIAC OX 1000ML,34000.00
https://megawines.co.ke/product/johnnie-walker-blue-zodiac-rabbit-1000ml/,JOHNNIE WALKER BLUE ZODIAC RABBIT 1000ML,34000.00
https://megawines.co.ke/product/johnnie-walker-blue-zodiac-snake-1000ml/,JOHNNIE WALKER BLUE ZODIAC SNAKE 1000ML,34000.00
https://megawines.co.ke/product/johnnie-walker-bourbon-cask-rye-1000ml/,JOHNNIE WALKER BOURBON CASK RYE 1000ML,5100.00
https://megawines.co.ke/product/johnnie-walker-double-black-1000ml/,JOHNNIE WALKER DOUBLE BLACK 1000ML,6700.00
https://megawines.co.ke/product/johnnie-walker-double-black-750ml/,JOHNNIE WALKER DOUBLE BLACK 750ML,5200.00
https://megawines.co.ke/product/johnnie-walker-explorer-adventurer-1000ml/,JOHNNIE WALKER EXPLORER ADVENTURER 1000ML,3500.00
https://megawines.co.ke/product/johnnie-walker-explorer-gold-1000ml/,JOHNNIE WALKER EXPLORER GOLD 1000ML,9500.00
https://megawines.co.ke/product/johnnie-walker-explorer-royal-route-1000ml/,JOHNNIE WALKER EXPLORER ROYAL ROUTE 1000ML,11500.00
https://megawines.co.ke/product/johnnie-walker-explorer-spice-road-1000ml/,JOHNNIE WALKER EXPLORER SPICE ROAD 1000ML,4500.00
https://megawines.co.ke/product/johnnie-walker-gold-18yrs-1000ml/,JOHNNIE WALKER GOLD 18YRS 1000ML,16500.00
https://megawines.co.ke/product/johnnie-walker-gold-18yrs-750ml/,JOHNNIE WALKER GOLD 18YRS 750ML,11000.00
https://megawines.co.ke/product/johnnie-walker-gold-reserve-750ml/,JOHNNIE WALKER GOLD RESERVE 750ML,8000.00
https://megawines.co.ke/product/johnnie-walker-gold-rsv-bullion-750ml/,JOHNNIE WALKER GOLD RSV  BULLION 750ML,6800.00
https://megawines.co.ke/product/johnnie-walker-green-750ml/,JOHNNIE WALKER GREEN 750ML,8000.00
https://megawines.co.ke/product/johnnie-walker-red-1000ml/,JOHNNIE WALKER RED 1000ML,2500.00
https://megawines.co.ke/product/johnnie-walker-red-375ml/,JOHNNIE WALKER RED 375ML,1200.00
https://megawines.co.ke/product/johnnie-walker-red-750ml/,JOHNNIE WALKER RED 750ML,2050.00
https://megawines.co.ke/product/johnnie-walker-select-casks-1000ml/,JOHNNIE WALKER SELECT CASKS 1000ML,5100.00
https://megawines.co.ke/product/johnnie-walker-song-of-ice-750ml/,JOHNNIE WALKER SONG OF ICE 750ML,3500.00
https://megawines.co.ke/product/johnnie-walker-swing-750ml/,JOHNNIE WALKER SWING 750ML,5500.00
https://megawines.co.ke/product/johnnie-walker-ultimate-18yr-750ml/,JOHNNIE WALKER ULTIMATE 18YR 750ML,11000.00
https://megawines.co.ke/product/johnnie-walker-ultimate-18yrs-1000ml/,JOHNNIE WALKER ULTIMATE 18YRS 1000ML,16500.00
https://megawines.co.ke/product/johnnie-walker-white-750ml/,JOHNNIE WALKER WHITE 750ML,4800.00
https://megawines.co.ke/product/johnnie-walker-xr-21yrs-1000ml/,JOHNNIE WALKER XR 21YRS 1000ML,22000.00
https://megawines.co.ke/product/kamiki-blended-malt-whisky-500ml/,KAMIKI BLENDED MALT WHISKY 500ML,7600.00
https://megawines.co.ke/product/kamiki-intense-wood-500ml/,KAMIKI INTENSE WOOD 500ML,7800.00
https://megawines.co.ke/product/kamiki-sakura-wood-blend-500ml/,KAMIKI SAKURA WOOD BLEND 500ML,7800.00
https://megawines.co.ke/product/kirin-fuji-sanroku-whisky-700ml/,KIRIN FUJI-SANROKU WHISKY 700ML,5850.00
https://megawines.co.ke/product/knob-creek-1000ml/,KNOB CREEK 1000ML,5800.00
https://megawines.co.ke/product/kura-pure-malt-700ml/,KURA PURE MALT 700ML,12000.00
https://megawines.co.ke/product/kurayoshi-12yrs-700ml/,KURAYOSHI 12YRS 700ML,19250.00
https://megawines.co.ke/product/kurayoshi-18yrs-700ml/,KURAYOSHI 18YRS 700ML,27950.00
https://megawines.co.ke/product/kurayoshi-8yrs-700ml/,KURAYOSHI 8YRS 700ML,14820.00
https://megawines.co.ke/product/kurayoshi-matsui-pure-malt-750ml/,KURAYOSHI MATSUI PURE MALT 750ML,9800.00
https://megawines.co.ke/product/kurayoshi-matsui-sherry-cask-of-700ml/,KURAYOSHI MATSUI SHERRY CASK  OF 700ML,12800.00
https://megawines.co.ke/product/kurayoshi-matsui-sherry-cask-dom-700ml/,KURAYOSHI MATSUI SHERRY CASK DOM 700ML,10800.00
https://megawines.co.ke/product/lauders-whisky-1000ml/,LAUDERS WHISKY 1000ML,1850.00
https://megawines.co.ke/product/lombard-gold-label-1000ml/,LOMBARD GOLD LABEL 1000ML,1500.00
https://megawines.co.ke/product/makers-mark-private-select-700ml/,MAKER’S MARK PRIVATE SELECT 700ML,4800.00
https://megawines.co.ke/product/makers-mark-1000ml/,MAKERS MARK 1000ML,4500.00
https://megawines.co.ke/product/makers-mark-46-bourbon-700ml/,MAKERS MARK 46  BOURBON 700ML,5650.00
https://megawines.co.ke/product/makers-mark-700ml/,MAKERS MARK 700ML,3900.00
https://megawines.co.ke/product/makers-mark-700ml-gp/,MAKERS MARK 700ML-GP,3900.00
https://megawines.co.ke/product/martini-bianco-1000ml/,MARTINI BIANCO 1000ML,2500.00
https://megawines.co.ke/product/martini-bianco-750ml/,MARTINI BIANCO 750ML,2000.00
https://megawines.co.ke/product/martini-bitters-750ml/,MARTINI BITTERS 750ML,1950.00
https://megawines.co.ke/product/martini-extra-dry-1000ml/,MARTINI EXTRA DRY 1000ML,2550.00
https://megawines.co.ke/product/martini-fiero-1000ml/,MARTINI FIERO 1000ML,2200.00
https://megawines.co.ke/product/martini-rosato-1000ml/,MARTINI ROSATO 1000ML,2000.00
https://megawines.co.ke/product/monkey-shoulder-1000ml/,MONKEY SHOULDER 1000ML,7500.00
https://megawines.co.ke/product/monkey-shoulder-smokey-w-out-fire-700ml/,MONKEY SHOULDER SMOKEY W/OUT FIRE 700ML,4340.00
https://megawines.co.ke/product/national-cellar-liquor-1573-guojiao-375ml/,NATIONAL CELLAR LIQUOR 1573 GUOJIAO 375ML,11000.00
https://megawines.co.ke/product/nikka-12yrs-700ml/,NIKKA 12YRS 700ML,21700.00
https://megawines.co.ke/product/nikka-all-malt-700ml/,NIKKA ALL MALT 700ML,7700.00
https://megawines.co.ke/product/nikka-black-whisky-500ml/,NIKKA BLACK WHISKY 500ML,6500.00
