Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamName,HomeTeamNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,2017,8,2017-04-29,15:00,7389855,BufbsHvYb,Finished,Chemelil Sugar,CSU,138476,Kariobangi Sharks,KAR,246032,1,1
Kenyan Premier League,2017,8,2017-04-29,15:00,7389860,JufbsWufb,Finished,Muhoroni Youth FC,MUY,138484,Tusker,TUS,138496,0,0
Kenyan Premier League,2017,8,2017-04-29,15:00,7389868,PufbsIvYb,Finished,Nzoia United,NZO,246033,Sony Sugar,SSU,138490,1,1
Kenyan Premier League,2017,8,2017-04-29,15:00,7389861,IDFsfxKb,Finished,Posta Rangers,PRA,213605,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,2017,8,2017-04-30,14:00,7389865,gLdbsHufb,Finished,Gor Mahia FC,GOR,134306,Mathare United,MAU,138482,0,0
Kenyan Premier League,2017,8,2017-04-30,15:00,7389867,YufbsnTid,Finished,Ulinzi Stars,ULS,138498,Zoo F.C.,ZFC,397163,1,1
Kenyan Premier League,2017,8,2017-04-30,16:15,7389866,Rufbsavfb,Finished,Thika United,TUN,138492,Western Stima FC,WST,138500,1,1
Kenyan Premier League,2017,8,2017-05-01,14:00,7389859,exKbsFRid,Finished,Dandora Love,DLO,397130,Kakamega Homeboyz,KAH,213604,0,0
Kenyan Premier League,2017,8,2017-05-01,15:00,7389863,zufbsNufb,Finished,Sofapaka,SOF,138488,Bandari FC,BAN,138474,1,1
Kenyan Premier League,2017,9,2017-05-05,14:00,7389862,zufbsHufb,Finished,Mathare United,MAU,138482,Bandari FC,BAN,138474,0,0
Kenyan Premier League,2017,9,2017-05-05,15:00,7389871,IvYbsFRid,Finished,Nzoia United,NZO,246033,Dandora Love,DLO,397130,1,1
Kenyan Premier League,2017,9,2017-05-05,16:15,7389869,PufbsHvYb,Finished,Kariobangi Sharks,KAR,246032,Sony Sugar,SSU,138490,2,2
Kenyan Premier League,2017,9,2024-09-30,15:44,7389870,BufbsJufb,Canceled,Chemelil Sugar,CSU,138476,Muhoroni Youth FC,MUY,138484,-,-
Kenyan Premier League,2017,9,2017-05-06,15:00,7389864,NufbsfxKb,Finished,Posta Rangers,PRA,213605,Sofapaka,SOF,138488,1,1
Kenyan Premier League,2017,9,2017-05-06,15:00,7389877,WufbsexKb,Finished,Tusker,TUS,138496,Kakamega Homeboyz,KAH,213604,1,1
Kenyan Premier League,2017,9,2017-05-07,10:00,7410079,BufbsJufb,Finished,Chemelil Sugar,CSU,138476,Muhoroni Youth FC,MUY,138484,0,0
